path,ext,top_dir,doc_section,bytes,mtime,git_last_commit_date,git_status,sha1,protection
docs/ui/production-ui-inventory.md,md,docs,ui,12113,2026-06-21T13:20:56.859Z,2026-06-21,clean,e7cdfb032b931aa509e7394d93309c679fc6859d,reviewable
infra/ci/PROD_GATE.md,md,infra,infra,958,2026-06-14T11:44:16.306Z,2026-06-14,clean,396ed3a38b8c7a6e89b0d2e9e86cf9d824c597c0,reviewable
infra/ci/README.md,md,infra,infra,775,2026-06-12T23:46:58.325Z,2026-06-13,clean,22f7a5bd5aa3d44872acf5a55b49f25d54338643,reviewable
infra/graph/README.md,md,infra,infra,528,2026-06-12T10:52:02.710Z,2026-06-12,clean,3ffa51bccbcf26a3ed9b5c5862bf7711f61c2cb1,reviewable
tests/fixtures/dlp/README.md,md,tests,tests,223,2026-06-12T01:47:48.912Z,2026-06-12,clean,3f49881ba0968d68035890021b74503611675a4e,reviewable
tests/fixtures/dlp/core-synthetic.txt,txt,tests,tests,256,2026-06-12T04:49:08.737Z,2026-06-12,clean,26b8da4f027124f24d62ceaf9ff6615777d80b10,reviewable
tests/fixtures/evalset-v0/README.md,md,tests,tests,607,2026-06-21T13:20:56.871Z,2026-06-16,clean,f10684eedce0d17063eec555abc369cbe5549593,reviewable
tests/integration/permission-matrix/README.md,md,tests,tests,589,2026-06-11T18:03:38.508Z,2026-06-12,clean,50c1e30360463074b25ff470bdea0a4f61db73d7,reviewable
tests/integration/permission-matrix/matrix-expected.csv,csv,tests,tests,467468,2026-06-12T00:22:43.485Z,2026-06-12,clean,f415e6061b54385d1af20ec9c6f1a06c30f3a102,reviewable
tmp/a11-evidence/db-roundtrip-summary.txt,txt,tmp,tmp,93,2026-07-04T07:18:11.851Z,untracked,untracked,92cf873242cf42d5342a706f490a42ddc4531a1d,protected_evidence_ref_review_only
tmp/a12-evidence/roundtrip-db-name.txt,txt,tmp,tmp,40,2026-07-04T07:48:15.368Z,untracked,untracked,46c50865ccd3f4b57b547a0840f1909590fadca5,protected_evidence_ref_review_only
tmp/b1-real-ocr-10page-scan.pdf,pdf,tmp,tmp,1047584,2026-07-03T03:40:51.321Z,untracked,untracked,6c12e954cff0a1fffdaf1322d6f3f64e6fcba57c,reviewable
tmp/c11-pip/extract_msg_wheel/extract_msg-0.55.0.dist-info/LICENSE.txt,txt,tmp,tmp,35147,2025-08-12T07:07:50.000Z,untracked,untracked,94a9ed024d3859793618152ea559a168bbcbb5e2,reviewable
tmp/c11-pip/extract_msg_wheel/extract_msg-0.55.0.dist-info/entry_points.txt,txt,tmp,tmp,58,2025-08-12T07:07:48.000Z,untracked,untracked,d38306d7c352a931bba3f7f0be80d63ae442f851,reviewable
tmp/c11-pip/extract_msg_wheel/extract_msg-0.55.0.dist-info/top_level.txt,txt,tmp,tmp,12,2025-08-12T07:07:48.000Z,untracked,untracked,89448256753ce6c47c1523b0da2af4b8c15176bf,reviewable
tmp/c11-pip/rtfde_wheel/rtfde-0.1.2.2.dist-info/top_level.txt,txt,tmp,tmp,6,2025-12-09T08:07:48.000Z,untracked,untracked,52da9059023e93d9fa9b6fd1a6502a486fa87122,reviewable
tmp/g2-chrome-profile/Default/Extensions/ghbmnnjooekpmoecnnnilnnbdlolhkhi/1.107.1_0/offscreendocument.html,html,tmp,tmp,97,2026-07-03T16:35:19.010Z,untracked,untracked,8658fdf34cb0898baa50289bfa50bcc7e450226d,reviewable
tmp/g2-chrome-profile/Default/Extensions/nmmhkkegccagdldgiimedpiccmgmieda/1.0.0.6_0/html/craw_window.html,html,tmp,tmp,810,2026-07-03T16:35:22.871Z,untracked,untracked,0d67ae1bcdd41f7771d05b9e299a1ee1a78db2b3,reviewable
tmp/g2-chrome-profile/Default/Service Worker/CacheStorage/97999faa5d6050de6bffcb0ba574f502b068575b/index.txt,txt,tmp,tmp,187,2026-07-03T16:37:08.877Z,untracked,untracked,e482fa1d85eb8b3f13846d0af52bad2592d577eb,reviewable
tmp/g2-chrome-profile/Subresource Filter/Unindexed Rules/9.69.0/LICENSE.txt,txt,tmp,tmp,24623,2026-07-03T16:36:16.517Z,untracked,untracked,dbbc9e554d17a215cb479e32cd583c17af7a0093,reviewable
